# DURATION     TID      FUNCTION [SOURCE]
 146.196 us [ 991956] | __slz_initialize(); /* src/slz.c:1335 */
   6.021 us [ 991956] |       } /* memprintf */
   0.762 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
            [ 991956] |       ring_new() { /* src/ring.c:54 */
   0.691 us [ 991956] |         ring_init(); /* src/ring.c:40 */
   2.535 us [ 991956] |       } /* ring_new */
   0.641 us [ 991956] |       varint_bytes(); /* src/tools.c:5316 */
            [ 991956] |       memprintf() { /* src/tools.c:4234 */
   0.801 us [ 991956] |         memvprintf(); /* src/tools.c:4186 */
   0.921 us [ 991956] |       } /* memprintf */
   0.802 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.060 us [ 991956] |       varint_bytes(); /* src/tools.c:5316 */
            [ 991956] |       memprintf() { /* src/tools.c:4234 */
   0.711 us [ 991956] |         memvprintf(); /* src/tools.c:4186 */
   0.841 us [ 991956] |       } /* memprintf */
   1.332 us [ 991956] |       memvprintf(); /* src/tools.c:4186 */
   0.661 us [ 991956] |       reset_usermsgs_ctx(); /* src/errors.c:115 */
   0.080 us [ 991956] |       varint_bytes(); /* src/tools.c:5316 */
  47.991 us [ 991956] |     } /* ha_warning */
  59.492 us [ 991956] |   } /* set_identity */
   0.141 us [ 991956] |   reset_usermsgs_ctx(); /* src/errors.c:115 */
 230.695 us [ 991956] |   setup_extra_threads(); /* src/thread.c:205 */
   1.563 us [ 991956] |   haproxy_unblock_signals(); /* src/signal.c:135 */
            [ 991956] |   set_thread_cpu_affinity() { /* src/thread.c:242 */
   0.942 us [ 991956] |     ha_cpuset_count(); /* src/cpuset.c:63 */
   0.661 us [ 991956] |     ha_cpuset_count(); /* src/cpuset.c:63 */
   6.683 us [ 991956] |   } /* set_thread_cpu_affinity */
   1.603 us [ 991956] |   clock_set_local_source(); /* src/clock.c:87 */
            [ 991956] |   clock_init_thread_date() { /* src/clock.c:257 */
            [ 991956] |     clock_update_date() { /* src/clock.c:150 */
   0.801 us [ 991956] |       _tv_ms_add(); /* src/time.c:22 */
   0.060 us [ 991956] |       _tv_ms_add(); /* src/time.c:22 */
   2.195 us [ 991956] |     } /* clock_update_date */
   3.236 us [ 991956] |   } /* clock_init_thread_date */
   1.984 us [ 991956] |   allocate_trash_counters(); /* src/stats.c:5190 */
   1.393 us [ 991956] |   allocate_stat_lines_per_thread(); /* src/stats.c:5174 */
   1.011 us [ 991956] |   init_log_buffers(); /* src/log.c:1927 */
            [ 991956] |   allocate_mux_cleanup() { /* src/connection.c:2422 */
            [ 991956] |     pool_alloc_nocache() { /* src/pool.c:353 */
   0.381 us [ 991956] |       pool_get_from_os(); /* src/pool.c:318 */
   0.571 us [ 991956] |     } /* pool_alloc_nocache */
   2.084 us [ 991956] |   } /* allocate_mux_cleanup */
            [ 991956] |   pattern_per_thread_lru_alloc() { /* src/pattern.c:2688 */
   1.453 us [ 991956] |     lru64_new(); /* src/lru.c:154 */
   2.374 us [ 991956] |   } /* pattern_per_thread_lru_alloc */
   0.591 us [ 991956] |   alloc_raw_htx_chunk_per_thread(); /* src/http_fetch.c:61 */
   3.907 us [ 991956] |   init_dns_buffers(); /* src/dns.c:1335 */
   0.991 us [ 991956] |   alloc_trace_buffers_per_thread(); /* src/trace.c:38 */
   8.336 us [ 991956] |   alloc_pollers_per_thread(); /* src/fd.c:947 */
            [ 991956] |   alloc_trash_buffers_per_thread() { /* src/chunk.c:77 */
   1.553 us [ 991956] |     alloc_trash_buffers(); /* src/chunk.c:68 */
   2.555 us [ 991956] |   } /* alloc_trash_buffers_per_thread */
   0.692 us [ 991956] |   init_tools_per_thread(); /* src/tools.c:6028 */
   2.555 us [ 991956] |   init_debug_per_thread(); /* src/debug.c:1571 */
   0.921 us [ 991956] |   flt_init_all_per_thread(); /* src/filters.c:328 */
   0.551 us [ 991956] |   mworker_sockpair_register_per_thread(); /* src/mworker.c:430 */
            [ 991956] |   init_pollers_per_thread() { /* src/fd.c:954 */
   1.142 us [ 991956] |     fd_set_nonblock(); /* src/fd.c:398 */
   0.741 us [ 991956] |     updt_fd_polling(); /* src/fd.c:467 */
  13.846 us [ 991956] |   } /* init_pollers_per_thread */
            [ 991956] |   init_wdt_per_thread() { /* src/wdt.c:152 */
   5.781 us [ 991956] |     clock_setup_signal_timer(); /* src/clock.c:102 */
   2.625 us [ 991956] |     wdt_ping(); /* src/wdt.c:43 */
  10.260 us [ 991956] |   } /* init_wdt_per_thread */
            [ 991956] |   init_epoll_per_thread() { /* src/ev_epoll.c:273 */
            [ 991956] |     fd_reregister_all() { /* src/fd.c:701 */
            [ 991956] |       updt_fd_polling() { /* src/fd.c:467 */
   0.852 us [ 991956] |         fd_add_to_fd_list(); /* src/fd.c:122 */
   1.032 us [ 991956] |       } /* updt_fd_polling */
            [ 991956] |       updt_fd_polling() { /* src/fd.c:467 */
   0.060 us [ 991956] |         fd_add_to_fd_list(); /* src/fd.c:122 */
   0.190 us [ 991956] |       } /* updt_fd_polling */
   0.070 us [ 991956] |       updt_fd_polling(); /* src/fd.c:467 */
   0.071 us [ 991956] |       updt_fd_polling(); /* src/fd.c:467 */
            [ 991964] | set_thread_cpu_affinity() { /* src/thread.c:242 */
            [ 991965] | set_thread_cpu_affinity() { /* src/thread.c:242 */
            [ 991964] |   ha_cpuset_count() { /* src/cpuset.c:63 */
            [ 991965] |   ha_cpuset_count() { /* src/cpuset.c:63 */
   1.223 us [ 991964] |   } /* ha_cpuset_count */
            [ 991964] |   ha_cpuset_count() { /* src/cpuset.c:63 */
   1.543 us [ 991965] |   } /* ha_cpuset_count */
            [ 991965] |   ha_cpuset_count() { /* src/cpuset.c:63 */
   0.851 us [ 991964] |   } /* ha_cpuset_count */
   0.842 us [ 991965] |   } /* ha_cpuset_count */
   7.174 us [ 991964] | } /* set_thread_cpu_affinity */
   0.781 us [ 991964] | clock_set_local_source(); /* src/clock.c:87 */
   7.855 us [ 991965] | } /* set_thread_cpu_affinity */
   0.902 us [ 991965] | clock_set_local_source(); /* src/clock.c:87 */
            [ 991963] | set_thread_cpu_affinity() { /* src/thread.c:242 */
   1.273 us [ 991963] |   ha_cpuset_count(); /* src/cpuset.c:63 */
   0.842 us [ 991963] |   ha_cpuset_count(); /* src/cpuset.c:63 */
  10.620 us [ 991963] | } /* set_thread_cpu_affinity */
   2.966 us [ 991963] | clock_set_local_source(); /* src/clock.c:87 */
   4.821 ms [ 991956] |     } /* fd_reregister_all */
   4.824 ms [ 991956] |   } /* init_epoll_per_thread */
            [ 991964] | clock_init_thread_date() { /* src/clock.c:257 */
            [ 991964] |   clock_update_date() { /* src/clock.c:150 */
   1.333 us [ 991964] |     _tv_ms_add(); /* src/time.c:22 */
   0.070 us [ 991964] |     _tv_ms_add(); /* src/time.c:22 */
   3.807 us [ 991964] |   } /* clock_update_date */
   6.953 us [ 991964] | } /* clock_init_thread_date */
   3.967 us [ 991964] | allocate_trash_counters(); /* src/stats.c:5190 */
  14.417 us [ 991964] | allocate_stat_lines_per_thread(); /* src/stats.c:5174 */
   4.007 us [ 991964] | init_log_buffers(); /* src/log.c:1927 */
            [ 991964] | allocate_mux_cleanup() { /* src/connection.c:2422 */
            [ 991964] |   pool_alloc_nocache() { /* src/pool.c:353 */
   1.513 us [ 991964] |     pool_get_from_os(); /* src/pool.c:318 */
   2.395 us [ 991964] |   } /* pool_alloc_nocache */
   5.139 us [ 991964] | } /* allocate_mux_cleanup */
            [ 991964] | pattern_per_thread_lru_alloc() { /* src/pattern.c:2688 */
   1.542 us [ 991964] |   lru64_new(); /* src/lru.c:154 */
   2.545 us [ 991964] | } /* pattern_per_thread_lru_alloc */
   3.266 us [ 991964] | alloc_raw_htx_chunk_per_thread(); /* src/http_fetch.c:61 */
  13.736 us [ 991964] | init_dns_buffers(); /* src/dns.c:1335 */
   5.249 us [ 991964] | alloc_trace_buffers_per_thread(); /* src/trace.c:38 */
  13.105 us [ 991964] | alloc_pollers_per_thread(); /* src/fd.c:947 */
            [ 991964] | alloc_trash_buffers_per_thread() { /* src/chunk.c:77 */
  12.985 us [ 991964] |   alloc_trash_buffers(); /* src/chunk.c:68 */
  14.046 us [ 991964] | } /* alloc_trash_buffers_per_thread */
   0.951 us [ 991964] | init_tools_per_thread(); /* src/tools.c:6028 */
   3.306 us [ 991964] | init_debug_per_thread(); /* src/debug.c:1571 */
   0.962 us [ 991964] | flt_init_all_per_thread(); /* src/filters.c:328 */
   0.631 us [ 991964] | mworker_sockpair_register_per_thread(); /* src/mworker.c:430 */
            [ 991964] | init_pollers_per_thread() { /* src/fd.c:954 */
   2.685 us [ 991964] |   fd_set_nonblock(); /* src/fd.c:398 */
   0.821 us [ 991964] |   updt_fd_polling(); /* src/fd.c:467 */
  22.092 us [ 991964] | } /* init_pollers_per_thread */
            [ 991964] | init_wdt_per_thread() { /* src/wdt.c:152 */
   7.675 us [ 991964] |   clock_setup_signal_timer(); /* src/clock.c:102 */
   3.887 us [ 991964] |   wdt_ping(); /* src/wdt.c:43 */
  12.975 us [ 991964] | } /* init_wdt_per_thread */
            [ 991964] | init_epoll_per_thread() { /* src/ev_epoll.c:273 */
            [ 991964] |   fd_reregister_all() { /* src/fd.c:701 */
   0.120 us [ 991964] |     updt_fd_polling(); /* src/fd.c:467 */
   0.070 us [ 991964] |     updt_fd_polling(); /* src/fd.c:467 */
   0.081 us [ 991964] |     updt_fd_polling(); /* src/fd.c:467 */
   0.090 us [ 991964] |     updt_fd_polling(); /* src/fd.c:467 */
   3.446 ms [ 991964] |   } /* fd_reregister_all */
   3.452 ms [ 991964] | } /* init_epoll_per_thread */
            [ 991965] | clock_init_thread_date() { /* src/clock.c:257 */
            [ 991965] |   clock_update_date() { /* src/clock.c:150 */
   1.974 us [ 991965] |     _tv_ms_add(); /* src/time.c:22 */
   0.070 us [ 991965] |     _tv_ms_add(); /* src/time.c:22 */
   4.970 us [ 991965] |   } /* clock_update_date */
   8.266 us [ 991965] | } /* clock_init_thread_date */
   4.859 us [ 991965] | allocate_trash_counters(); /* src/stats.c:5190 */
  13.175 us [ 991965] | allocate_stat_lines_per_thread(); /* src/stats.c:5174 */
   4.298 us [ 991965] | init_log_buffers(); /* src/log.c:1927 */
            [ 991965] | allocate_mux_cleanup() { /* src/connection.c:2422 */
            [ 991965] |   pool_alloc_nocache() { /* src/pool.c:353 */
   2.595 us [ 991965] |     pool_get_from_os(); /* src/pool.c:318 */
   4.439 us [ 991965] |   } /* pool_alloc_nocache */
   9.668 us [ 991965] | } /* allocate_mux_cleanup */
            [ 991965] | pattern_per_thread_lru_alloc() { /* src/pattern.c:2688 */
   1.413 us [ 991965] |   lru64_new(); /* src/lru.c:154 */
   2.455 us [ 991965] | } /* pattern_per_thread_lru_alloc */
   3.036 us [ 991965] | alloc_raw_htx_chunk_per_thread(); /* src/http_fetch.c:61 */
  12.374 us [ 991965] | init_dns_buffers(); /* src/dns.c:1335 */
   5.070 us [ 991965] | alloc_trace_buffers_per_thread(); /* src/trace.c:38 */
  11.332 us [ 991965] | alloc_pollers_per_thread(); /* src/fd.c:947 */
            [ 991965] | alloc_trash_buffers_per_thread() { /* src/chunk.c:77 */
  13.135 us [ 991965] |   alloc_trash_buffers(); /* src/chunk.c:68 */
  14.337 us [ 991965] | } /* alloc_trash_buffers_per_thread */
   0.681 us [ 991965] | init_tools_per_thread(); /* src/tools.c:6028 */
   3.356 us [ 991965] | init_debug_per_thread(); /* src/debug.c:1571 */
   0.911 us [ 991965] | flt_init_all_per_thread(); /* src/filters.c:328 */
   0.611 us [ 991965] | mworker_sockpair_register_per_thread(); /* src/mworker.c:430 */
            [ 991965] | init_pollers_per_thread() { /* src/fd.c:954 */
   2.785 us [ 991965] |   fd_set_nonblock(); /* src/fd.c:398 */
   0.862 us [ 991965] |   updt_fd_polling(); /* src/fd.c:467 */
  27.743 us [ 991965] | } /* init_pollers_per_thread */
            [ 991965] | init_wdt_per_thread() { /* src/wdt.c:152 */
   7.865 us [ 991965] |   clock_setup_signal_timer(); /* src/clock.c:102 */
   2.786 us [ 991965] |   wdt_ping(); /* src/wdt.c:43 */
  12.334 us [ 991965] | } /* init_wdt_per_thread */
            [ 991965] | init_epoll_per_thread() { /* src/ev_epoll.c:273 */
            [ 991965] |   fd_reregister_all() { /* src/fd.c:701 */
   0.130 us [ 991965] |     updt_fd_polling(); /* src/fd.c:467 */
   0.090 us [ 991965] |     updt_fd_polling(); /* src/fd.c:467 */
   0.080 us [ 991965] |     updt_fd_polling(); /* src/fd.c:467 */
   0.080 us [ 991965] |     updt_fd_polling(); /* src/fd.c:467 */
   3.344 ms [ 991965] |   } /* fd_reregister_all */
   3.351 ms [ 991965] | } /* init_epoll_per_thread */
            [ 991963] | clock_init_thread_date() { /* src/clock.c:257 */
            [ 991963] |   clock_update_date() { /* src/clock.c:150 */
   1.372 us [ 991963] |     _tv_ms_add(); /* src/time.c:22 */
   0.070 us [ 991963] |     _tv_ms_add(); /* src/time.c:22 */
   4.208 us [ 991963] |   } /* clock_update_date */
   7.855 us [ 991963] | } /* clock_init_thread_date */
   5.250 us [ 991963] | allocate_trash_counters(); /* src/stats.c:5190 */
  20.229 us [ 991963] | allocate_stat_lines_per_thread(); /* src/stats.c:5174 */
   4.097 us [ 991963] | init_log_buffers(); /* src/log.c:1927 */
            [ 991963] | allocate_mux_cleanup() { /* src/connection.c:2422 */
            [ 991963] |   pool_alloc_nocache() { /* src/pool.c:353 */
   1.974 us [ 991963] |     pool_get_from_os(); /* src/pool.c:318 */
   3.266 us [ 991963] |   } /* pool_alloc_nocache */
   6.202 us [ 991963] | } /* allocate_mux_cleanup */
            [ 991963] | pattern_per_thread_lru_alloc() { /* src/pattern.c:2688 */
   1.654 us [ 991963] |   lru64_new(); /* src/lru.c:154 */
   2.725 us [ 991963] | } /* pattern_per_thread_lru_alloc */
   3.166 us [ 991963] | alloc_raw_htx_chunk_per_thread(); /* src/http_fetch.c:61 */
  13.435 us [ 991963] | init_dns_buffers(); /* src/dns.c:1335 */
   7.133 us [ 991963] | alloc_trace_buffers_per_thread(); /* src/trace.c:38 */
  16.912 us [ 991963] | alloc_pollers_per_thread(); /* src/fd.c:947 */
            [ 991963] | alloc_trash_buffers_per_thread() { /* src/chunk.c:77 */
  12.393 us [ 991963] |   alloc_trash_buffers(); /* src/chunk.c:68 */
  13.705 us [ 991963] | } /* alloc_trash_buffers_per_thread */
   0.992 us [ 991963] | init_tools_per_thread(); /* src/tools.c:6028 */
   3.106 us [ 991963] | init_debug_per_thread(); /* src/debug.c:1571 */
   0.912 us [ 991963] | flt_init_all_per_thread(); /* src/filters.c:328 */
   0.601 us [ 991963] | mworker_sockpair_register_per_thread(); /* src/mworker.c:430 */
            [ 991963] | init_pollers_per_thread() { /* src/fd.c:954 */
   3.036 us [ 991963] |   fd_set_nonblock(); /* src/fd.c:398 */
   0.801 us [ 991963] |   updt_fd_polling(); /* src/fd.c:467 */
  24.797 us [ 991963] | } /* init_pollers_per_thread */
            [ 991963] | init_wdt_per_thread() { /* src/wdt.c:152 */
   7.174 us [ 991963] |   clock_setup_signal_timer(); /* src/clock.c:102 */
   3.086 us [ 991963] |   wdt_ping(); /* src/wdt.c:43 */
  11.692 us [ 991963] | } /* init_wdt_per_thread */
            [ 991963] | init_epoll_per_thread() { /* src/ev_epoll.c:273 */
            [ 991963] |   fd_reregister_all() { /* src/fd.c:701 */
   0.121 us [ 991963] |     updt_fd_polling(); /* src/fd.c:467 */
   0.070 us [ 991963] |     updt_fd_polling(); /* src/fd.c:467 */
   0.090 us [ 991963] |     updt_fd_polling(); /* src/fd.c:467 */
   0.091 us [ 991963] |     updt_fd_polling(); /* src/fd.c:467 */
   3.583 ms [ 991963] |   } /* fd_reregister_all */
   3.590 ms [ 991963] | } /* init_epoll_per_thread */
            [ 991963] | protocol_enable_all() { /* src/protocol.c:216 */
            [ 991963] |   quic_enable_listener() { /* src/proto_quic.c:680 */
   0.982 us [ 991963] |     updt_fd_polling(); /* src/fd.c:467 */
   2.064 us [ 991963] |   } /* quic_enable_listener */
            [ 991963] |   tcp_enable_listener() { /* src/proto_tcp.c:749 */
   0.060 us [ 991963] |     updt_fd_polling(); /* src/fd.c:467 */
   1.212 us [ 991963] |   } /* tcp_enable_listener */
   7.504 us [ 991963] | } /* protocol_enable_all */
            [ 991963] | run_poll_loop() { /* src/haproxy.c:2791 */
            [ 991963] |   clock_update_date() { /* src/clock.c:150 */
   1.342 us [ 991963] |     _tv_ms_add(); /* src/time.c:22 */
   0.061 us [ 991963] |     _tv_ms_add(); /* src/time.c:22 */
   3.206 us [ 991963] |   } /* clock_update_date */
   1.352 us [ 991963] |   eb32_lookup_ge(); /* src/eb32tree.c:137 */
            [ 991956] |   run_poll_loop() { /* src/haproxy.c:2791 */
   0.160 us [ 991963] |   eb32_lookup_ge(); /* src/eb32tree.c:137 */
   0.060 us [ 991963] |   eb32_lookup_ge(); /* src/eb32tree.c:137 */
            [ 991963] |   eb_delete() { /* src/ebtree.c:23 */
            [ 991956] |     clock_update_date() { /* src/clock.c:150 */
   0.781 us [ 991963] |   } /* eb_delete */
            [ 991963] |   __task_wakeup() { /* src/task.c:206 */
   0.401 us [ 991956] |       _tv_ms_add(); /* src/time.c:22 */
   0.080 us [ 991956] |       _tv_ms_add(); /* src/time.c:22 */
   1.663 us [ 991956] |     } /* clock_update_date */
            [ 991963] |     eb32_insert() { /* src/eb32tree.c:25 */
   0.561 us [ 991956] |     eb32_lookup_ge(); /* src/eb32tree.c:137 */
   0.902 us [ 991963] |     } /* eb32_insert */
   1.933 us [ 991963] |   } /* __task_wakeup */
            [ 991963] |   eb32_lookup_ge() { /* src/eb32tree.c:137 */
            [ 991956] |     process_runnable_tasks() { /* src/task.c:707 */
   0.070 us [ 991963] |   } /* eb32_lookup_ge */
            [ 991963] |   process_runnable_tasks() { /* src/task.c:707 */
   0.060 us [ 991963] |     eb32_lookup_ge(); /* src/eb32tree.c:137 */
            [ 991956] |       eb32_lookup_ge() { /* src/eb32tree.c:137 */
   0.070 us [ 991963] |     eb_delete(); /* src/ebtree.c:23 */
   0.191 us [ 991956] |       } /* eb32_lookup_ge */
   0.050 us [ 991963] |     eb32_lookup_ge(); /* src/eb32tree.c:137 */
   0.251 us [ 991956] |       eb_delete(); /* src/ebtree.c:23 */
   0.080 us [ 991956] |       eb32_lookup_ge(); /* src/eb32tree.c:137 */
            [ 991956] |       process_resolvers() { /* src/resolvers.c:2302 */
            [ 991963] |     process_chk() { /* src/check.c:1368 */
   0.331 us [ 991956] |         eb32_insert(); /* src/eb32tree.c:25 */
   1.963 us [ 991956] |       } /* process_resolvers */
  14.969 us [ 991956] |     } /* process_runnable_tasks */
            [ 991963] |       set_server_check_status() { /* src/check.c:438 */
            [ 991956] |     next_timer_expiry() { /* src/task.c:460 */
   0.141 us [ 991956] |       eb32_lookup_ge(); /* src/eb32tree.c:137 */
   1.012 us [ 991963] |       } /* set_server_check_status */
   0.080 us [ 991956] |       eb32_lookup_ge(); /* src/eb32tree.c:137 */
            [ 991963] |       sc_new_from_check() { /* src/stconn.c:201 */
   1.202 us [ 991956] |     } /* next_timer_expiry */
            [ 991956] |     _do_poll() { /* src/ev_epoll.c:160 */
            [ 991963] |         sc_new() { /* src/stconn.c:124 */
            [ 991956] |       _update_fd() { /* src/ev_epoll.c:70 */
            [ 991963] |           pool_alloc_nocache() { /* src/pool.c:353 */
   1.903 us [ 991963] |             pool_get_from_os(); /* src/pool.c:318 */
   2.685 us [ 991963] |           } /* pool_alloc_nocache */
            [ 991963] |           sedesc_new() { /* src/stconn.c:99 */
            [ 991965] | run_poll_loop() { /* src/haproxy.c:2791 */
            [ 991963] |             pool_alloc_nocache() { /* src/pool.c:353 */
   0.350 us [ 991963] |               pool_get_from_os(); /* src/pool.c:318 */
   0.451 us [ 991963] |             } /* pool_alloc_nocache */
            [ 991963] |             sedesc_init() { /* src/stconn.c:90 */
            [ 991965] |   clock_update_date() { /* src/clock.c:150 */
   0.591 us [ 991963] |             } /* sedesc_init */
   1.713 us [ 991963] |           } /* sedesc_new */
   6.923 us [ 991956] |       } /* _update_fd */
   7.414 us [ 991963] |         } /* sc_new */
   7.955 us [ 991963] |       } /* sc_new_from_check */
   0.110 us [ 991956] |       _update_fd(); /* src/ev_epoll.c:70 */
            [ 991965] |     _tv_ms_add() { /* src/time.c:22 */
            [ 991963] |       tcpcheck_main() { /* src/tcpcheck.c:2125 */
            [ 991956] |       _update_fd() { /* src/ev_epoll.c:70 */
   0.401 us [ 991965] |     } /* _tv_ms_add */
   0.081 us [ 991965] |     _tv_ms_add(); /* src/time.c:22 */
   1.623 us [ 991965] |   } /* clock_update_date */
            [ 991965] |   eb32_lookup_ge() { /* src/eb32tree.c:137 */
            [ 991963] |         session_new() { /* src/session.c:38 */
   0.551 us [ 991965] |   } /* eb32_lookup_ge */
   0.140 us [ 991965] |   eb32_lookup_ge(); /* src/eb32tree.c:137 */
            [ 991965] |   process_runnable_tasks() { /* src/task.c:707 */
            [ 991963] |           pool_alloc_nocache() { /* src/pool.c:353 */
            [ 991963] |             pool_get_from_os() { /* src/pool.c:318 */
   0.401 us [ 991965] |   } /* process_runnable_tasks */
            [ 991965] |   next_timer_expiry() { /* src/task.c:460 */
   0.351 us [ 991963] |             } /* pool_get_from_os */
   0.551 us [ 991963] |           } /* pool_alloc_nocache */
            [ 991963] |           vars_init_head() { /* src/vars.c:225 */
   0.080 us [ 991965] |     eb32_lookup_ge(); /* src/eb32tree.c:137 */
   0.080 us [ 991965] |     eb32_lookup_ge(); /* src/eb32tree.c:137 */
   0.721 us [ 991965] |   } /* next_timer_expiry */
            [ 991965] |   _do_poll() { /* src/ev_epoll.c:160 */
            [ 991965] |     _update_fd() { /* src/ev_epoll.c:70 */
   1.172 us [ 991963] |           } /* vars_init_head */
   2.725 us [ 991963] |         } /* session_new */
   0.050 us [ 991963] |         vars_init_head(); /* src/vars.c:225 */
   4.037 us [ 991956] |       } /* _update_fd */
            [ 991956] |       _update_fd() { /* src/ev_epoll.c:70 */
            [ 991963] |         tcpcheck_eval_connect() { /* src/tcpcheck.c:1052 */
            [ 991963] |           conn_new() { /* src/connection.c:444 */
            [ 991963] |             pool_alloc_nocache() { /* src/pool.c:353 */
   0.291 us [ 991963] |               pool_get_from_os(); /* src/pool.c:318 */
   0.411 us [ 991963] |             } /* pool_alloc_nocache */
            [ 991963] |             conn_init() { /* src/connection.c:413 */
   3.086 us [ 991956] |       } /* _update_fd */
            [ 991956] |       compute_poll_timeout() { /* src/fd.c:894 */
   0.641 us [ 991963] |             } /* conn_init */
   0.641 us [ 991956] |       } /* compute_poll_timeout */
            [ 991964] | run_poll_loop() { /* src/haproxy.c:2791 */
            [ 991956] |       clock_entering_poll() { /* src/clock.c:336 */
   4.959 us [ 991965] |     } /* _update_fd */
            [ 991964] |   clock_update_date() { /* src/clock.c:150 */
   0.100 us [ 991965] |     _update_fd(); /* src/ev_epoll.c:70 */
            [ 991965] |     _update_fd() { /* src/ev_epoll.c:70 */
            [ 991956] |         now_cpu_time() { /* src/clock.c:63 */
   0.391 us [ 991964] |     _tv_ms_add(); /* src/time.c:22 */
   0.070 us [ 991964] |     _tv_ms_add(); /* src/time.c:22 */
   1.703 us [ 991964] |   } /* clock_update_date */
            [ 991964] |   eb32_lookup_ge() { /* src/eb32tree.c:137 */
   2.304 us [ 991965] |     } /* _update_fd */
   0.511 us [ 991964] |   } /* eb32_lookup_ge */
            [ 991965] |     _update_fd() { /* src/ev_epoll.c:70 */
   0.131 us [ 991964] |   eb32_lookup_ge(); /* src/eb32tree.c:137 */
   0.391 us [ 991964] |   process_runnable_tasks(); /* src/task.c:707 */
            [ 991964] |   next_timer_expiry() { /* src/task.c:460 */
   3.276 us [ 991956] |         } /* now_cpu_time */
            [ 991956] |         now_mono_time() { /* src/clock.c:51 */
   0.080 us [ 991964] |     eb32_lookup_ge(); /* src/eb32tree.c:137 */
   0.070 us [ 991964] |     eb32_lookup_ge(); /* src/eb32tree.c:137 */
   0.701 us [ 991964] |   } /* next_timer_expiry */
            [ 991964] |   _do_poll() { /* src/ev_epoll.c:160 */
   1.874 us [ 991965] |     } /* _update_fd */
            [ 991965] |     compute_poll_timeout() { /* src/fd.c:894 */
            [ 991964] |     _update_fd() { /* src/ev_epoll.c:70 */
   1.102 us [ 991956] |         } /* now_mono_time */
            [ 991956] |         activity_count_runtime() { /* src/activity.c:340 */
   0.331 us [ 991965] |     } /* compute_poll_timeout */
            [ 991965] |     clock_entering_poll() { /* src/clock.c:336 */
            [ 991965] |       now_cpu_time() { /* src/clock.c:63 */
   0.871 us [ 991956] |         } /* activity_count_runtime */
   6.522 us [ 991956] |       } /* clock_entering_poll */
   2.164 us [ 991965] |       } /* now_cpu_time */
   0.551 us [ 991965] |       now_mono_time(); /* src/clock.c:51 */
   0.371 us [ 991965] |       activity_count_runtime(); /* src/activity.c:340 */
   3.827 us [ 991965] |     } /* clock_entering_poll */
   4.459 us [ 991964] |     } /* _update_fd */
   0.090 us [ 991964] |     _update_fd(); /* src/ev_epoll.c:70 */
            [ 991964] |     _update_fd() { /* src/ev_epoll.c:70 */
            [ 991963] |             conn_alloc_hash_node() { /* src/connection.c:508 */
            [ 991963] |               pool_alloc_nocache() { /* src/pool.c:353 */
   0.291 us [ 991963] |                 pool_get_from_os(); /* src/pool.c:318 */
   0.431 us [ 991963] |               } /* pool_alloc_nocache */
   1.413 us [ 991963] |             } /* conn_alloc_hash_node */
  14.788 us [ 991963] |           } /* conn_new */
            [ 991963] |           sc_attach_mux() { /* src/stconn.c:250 */
   2.184 us [ 991964] |     } /* _update_fd */
            [ 991964] |     _update_fd() { /* src/ev_epoll.c:70 */
            [ 991963] |             pool_alloc_nocache() { /* src/pool.c:353 */
            [ 991963] |               pool_get_from_os() { /* src/pool.c:318 */
   1.693 us [ 991964] |     } /* _update_fd */
   0.321 us [ 991964] |     compute_poll_timeout(); /* src/fd.c:894 */
            [ 991964] |     clock_entering_poll() { /* src/clock.c:336 */
   2.033 us [ 991964] |       now_cpu_time(); /* src/clock.c:63 */
   0.481 us [ 991964] |       now_mono_time(); /* src/clock.c:51 */
   0.350 us [ 991964] |       activity_count_runtime(); /* src/activity.c:340 */
   3.546 us [ 991964] |     } /* clock_entering_poll */
   9.168 us [ 991963] |               } /* pool_get_from_os */
   9.268 us [ 991963] |             } /* pool_alloc_nocache */
   9.919 us [ 991963] |           } /* sc_attach_mux */
            [ 991963] |           sockaddr_alloc() { /* src/connection.c:529 */
            [ 991963] |             pool_alloc_nocache() { /* src/pool.c:353 */
   0.281 us [ 991963] |               pool_get_from_os(); /* src/pool.c:318 */
   0.411 us [ 991963] |             } /* pool_alloc_nocache */
   0.872 us [ 991963] |           } /* sockaddr_alloc */
            [ 991963] |           sock_create_server_socket() { /* src/sock.c:203 */
  29.737 us [ 991963] |             my_socketat(); /* src/namespace.c:114 */
  31.159 us [ 991963] |           } /* sock_create_server_socket */
   2.915 us [ 991963] |           fd_set_nonblock(); /* src/fd.c:398 */
   0.200 us [ 991963] |           updt_fd_polling(); /* src/fd.c:467 */
            [ 991963] |           srv_release_conn() { /* src/server.c:5751 */
   0.140 us [ 991963] |             eb_delete(); /* src/ebtree.c:23 */
   0.791 us [ 991963] |           } /* srv_release_conn */
            [ 991963] |           mux_pt_init() { /* src/mux_pt.c:280 */
            [ 991963] |             pool_alloc_nocache() { /* src/pool.c:353 */
   0.420 us [ 991963] |               pool_get_from_os(); /* src/pool.c:318 */
   0.592 us [ 991963] |             } /* pool_alloc_nocache */
            [ 991963] |             pool_alloc_nocache() { /* src/pool.c:353 */
   0.200 us [ 991963] |               pool_get_from_os(); /* src/pool.c:318 */
